,energy,impact,latitude,longitude,altitude,velocity,vx,vy,vz
126,51.2,1.3,22.2,72.6,31.5,10.9,-5.9,-9.1,1.4
127,7.1,0.22,13.5,37.1,31.5,13.1,-0.9,13.1,-0.4
128,19.0,0.53,19.4,104.3,37.0,16.5,8.1,-8.4,-11.7
129,19.9,0.56,52.0,57.2,43.6,23.7,18.6,-12.1,8.4
130,2.8,0.098,55.8,52.5,26.0,21.0,0.8,2.2,-20.9
131,311.4,6.4,60.2,170.0,20.0,31.4,27.8,-4.7,-13.9
132,2.8,0.098,24.2,135.0,33.3,11.4,6.7,-3.4,8.6
133,2.4,0.086,28.8,44.6,35.4,16.7,-5.7,-10.7,-11.5
134,3.3,0.11,65.2,128.2,24.1,15.9,9.5,-8.3,9.7
135,19.2,0.54,28.1,99.4,37.0,14.6,-8.5,-9.0,7.8
136,3.8,0.13,49.3,116.9,36.0,14.7,12.7,-6.1,-4.2
137,3.5,0.12,6.6,69.7,38.0,17.2,-0.4,8.7,-14.8
138,7.3,0.23,23.1,60.7,35.0,13.7,-10.0,-6.5,-6.8
139,9.4,0.29,34.3,134.5,20.0,15.2,10.9,-9.7,4.2
140,18.4,0.52,57.0,143.7,35.1,24.3,17.7,13.1,-10.3
141,63.6,1.6,54.2,133.0,33.3,13.6,8.7,-5.7,8.8
142,9.0,0.28,9.1,101.8,46.0,18.4,-6.5,-16.5,-5.0
143,15.0,0.43,25.7,56.2,32.4,21.5,-13.4,-14.2,8.9
144,40.0,1.0,40.5,18.0,23.0,36.5,-15.3,25.8,-20.8
145,6.5,0.21,29.5,13.5,25.4,12.2,-7.6,-9.3,2.2
146,29.5,0.79,6.2,60.4,38.0,24.2,-6.6,-22.7,-5.3
147,3.8,0.13,21.3,49.3,42.0,29.7,-22.4,16.4,-10.5
148,13.8,0.4,15.2,80.3,30.6,17.4,9.1,-11.2,9.7
149,3.1,0.11,36.2,6.7,27.8,14.2,-10.0,3.9,-9.3
150,7.1,0.22,51.8,178.5,40.0,17.5,-2.5,-3.3,17.0
151,7.6,0.24,3.5,44.6,54.0,18.3,3.5,-16.2,7.7
152,18.4,0.52,43.7,53.8,34.3,14.9,-0.7,-11.4,9.6
153,15.3,0.44,1.0,48.6,38.2,25.1,-10.3,-2.0,-22.8
154,45.8,1.2,15.8,11.9,33.3,29.1,-29.1,1.5,0.7
155,33.1,0.87,17.4,138.3,28.7,14.5,6.0,-11.9,5.7
156,2.0,0.073,32.8,15.1,30.6,20.8,5.4,-9.9,17.5
157,51.9,1.3,3.2,6.6,41.7,12.2,-6.7,-3.3,-9.6
158,22.4,0.62,20.7,14.5,31.5,17.1,-3.5,2.2,-16.6
159,65.5,1.6,22.0,149.0,35.2,15.1,4.7,-12.9,-6.4
160,3.2,0.11,49.2,6.3,42.0,13.3,-7.6,9.1,6.0
161,5.8,0.19,48.0,51.0,31.8,11.7,4.8,-7.1,7.9
162,3.5,0.12,32.3,67.2,44.0,17.9,-8.5,-1.6,-15.7
163,20.2,0.56,0.7,11.6,39.4,15.5,-14.9,-0.5,4.1
164,685.3,13.0,30.4,25.5,31.0,15.6,2.7,14.5,5.0
165,5.0,0.16,45.8,53.6,37.0,11.5,-10.0,-4.4,3.6
166,4.6,0.15,10.8,0.7,42.5,18.1,-3.8,-17.7,-1.2
167,8.3,0.26,5.9,143.0,42.2,12.1,6.4,-10.0,2.5
168,2.3,0.082,8.0,52.5,38.9,12.9,-6.6,3.8,10.4
169,3.6,0.12,51.0,21.1,51.8,11.8,-1.3,-5.1,10.6
170,2.0,0.073,6.3,29.9,44.4,16.1,-11.5,-11.3,-0.9
171,179.8,3.9,14.5,98.9,29.3,21.0,16.8,-12.0,-3.8
172,3.7,0.13,39.1,40.2,39.8,24.1,10.3,-12.2,-18.0
173,2.3,0.082,20.6,87.6,22.0,17.8,9.4,13.0,7.8
174,5.6,0.18,38.6,103.1,46.3,49.0,0.9,-40.4,-27.7
175,7.1,0.22,6.3,124.1,32.4,31.9,-4.7,-17.8,-26.0
176,14.3,0.42,46.3,179.3,29.6,12.2,11.2,0.9,4.7
177,5.2,0.17,21.5,29.3,37.0,17.3,-16.2,-5.8,1.4
178,10.5,0.32,48.7,139.1,26.7,12.9,12.2,-4.2,0.9
179,8.8,0.27,37.7,39.6,37.4,21.3,-15.3,12.8,7.4
180,17.3,0.49,25.5,51.5,36.3,19.2,8.0,-15.6,-7.9
181,6.4,0.2,36.1,5.5,33.1,13.8,-13.7,-1.7,0.8
182,7.2,0.23,8.0,119.1,35.2,19.9,5.5,-10.5,-16.0
183,5.5,0.18,15.9,88.1,39.8,18.0,7.8,-16.0,-2.5
184,18.8,0.53,68.0,149.0,33.7,21.1,5.6,-2.3,-20.2
185,3.3,0.11,8.0,11.2,39.0,28.8,-28.2,3.4,4.6
186,13.9,0.41,2.0,28.8,36.0,17.5,-10.7,-7.6,11.6
187,13.6,0.4,45.7,26.9,45.5,35.7,-35.4,1.8,-4.4
188,2.0,0.073,31.1,140.0,38.1,18.1,4.5,-14.4,-10.0
189,4.4,0.15,86.7,162.1,30.7,21.7,15.3,-13.3,-7.8
190,3.3,0.11,33.5,144.9,26.3,12.0,11.5,-2.8,-2.2
191,70.0,1.7,45.8,172.7,26.1,13.4,0.4,-1.4,13.3
192,11.8,0.35,69.5,179.7,23.3,25.3,21.3,2.2,13.4
193,10.5,0.32,68.2,24.0,37.0,19.9,-7.0,16.1,9.4
194,15.6,0.45,43.1,115.8,22.2,16.0,-7.2,-12.1,-7.7
195,2.9,0.1,2.0,119.2,27.2,16.9,15.0,-6.9,-3.5
196,381.9,7.6,61.7,132.6,22.2,16.2,-2.3,5.7,16.5
197,24.5,0.67,18.9,141.2,26.3,12.4,12.0,3.5,-10.5
198,6.1,0.2,71.5,93.4,28.5,11.2,7.0,2.9,8.3
199,13.6,0.4,39.4,95.9,30.8,18.0,2.9,13.4,-12.5
200,30.9,0.82,44.2,176.2,44.0,16.5,14.4,4.6,6.5
201,105.0,2.4,36.9,87.3,35.4,19.0,-2.0,-16.1,9.9
202,3.9,0.13,28.7,121.5,30.7,16.3,10.0,-12.7,2.2
203,7.8,0.24,2.9,64.4,37.0,16.2,-5.2,-15.1,2.6
204,3.1,0.11,1.3,147.6,18.7,44.8,-3.4,-43.5,-10.3
205,14.7,0.43,39.5,2.0,34.3,15.1,-1.1,11.4,-9.9
206,6.4,0.2,32.8,165.1,23.5,11.8,2.3,2.5,-11.3
207,7.5,0.23,44.7,35.3,59.3,12.4,-5.0,-11.0,-2.7
208,161.0,3.5,19.1,25.0,22.2,12.8,-8.0,8.4,-5.5
209,6.9,0.22,31.8,137.1,29.1,17.8,17.7,-2.3,-0.1
210,39.0,1.0,50.2,90.2,25.6,18.8,15.9,-8.6,5.1
211,12.0,0.36,0.3,156.2,26.5,22.1,16.0,14.9,-3.3
212,511.0,10.0,35.5,30.7,21.2,12.1,1.0,9.0,-8.0
213,106.6,2.5,28.1,64.6,40.7,14.9,5.0,14.0,1.0
214,37500.0,440.0,54.8,61.1,23.3,18.6,12.8,-13.3,-2.4
215,2.5,0.089,2.5,29.6,33.3,14.3,-12.2,-5.3,5.3
216,2.3,0.082,75.4,49.6,29.3,13.2,-2.3,-3.9,12.4
217,21.0,0.58,51.2,84.6,27.8,13.5,3.4,12.0,5.1
218,47.0,1.2,8.1,111.9,35.0,15.4,1.4,15.3,1.0
219,24.4,0.67,1.2,52.2,28.1,18.3,-1.9,14.1,-11.5
220,2.3,0.082,69.8,111.7,23.8,16.9,-10.2,-5.2,12.4
221,6.8,0.22,18.3,64.2,38.7,28.9,-8.0,-23.7,-14.5
222,24.9,0.68,11.8,117.0,36.0,12.7,5.0,-11.6,-0.7
223,13.3,0.39,36.4,41.5,26.8,18.5,0.8,2.0,-18.4
224,13.2,0.39,61.8,135.5,33.3,17.1,-0.8,1.1,17.0
225,9.9,0.3,2.5,139.8,25.0,11.8,0.1,-11.8,0.3
226,15.0,0.43,32.4,0.1,34.2,12.2,-3.9,10.9,4.0
227,2.1,0.076,64.1,109.9,26.3,12.3,-1.9,5.1,11.0
228,6.7,0.21,19.9,13.8,21.3,16.7,-3.7,1.8,16.2
229,228.0,4.8,4.1,14.0,59.0,11.6,-3.4,-10.8,2.4
230,14.8,0.43,71.1,43.5,22.2,12.7,3.3,11.8,-3.5
231,3.7,0.13,53.5,103.9,30.6,11.9,-6.7,-1.1,-9.8
232,3.9,0.13,26.3,43.7,44.4,18.0,10.3,-14.8,0.1
233,2000.0,33.0,38.0,158.0,26.0,18.1,18.0,-2.0,-4.0
234,175.0,3.8,61.0,146.7,33.3,12.3,9.8,-3.5,6.5
235,756.0,14.0,34.1,174.5,26.0,15.7,12.1,10.0,0.2
236,84.4,2.0,1.8,176.9,22.2,18.8,12.4,-13.2,-5.2
237,32.3,0.85,32.0,92.9,52.0,24.5,19.1,11.0,10.7
238,15.3,0.44,48.7,21.0,37.0,15.1,-11.7,2.7,-9.1
239,49.2,1.2,8.3,27.0,25.0,14.0,-9.1,6.0,8.8
240,1000.0,18.0,22.0,29.2,38.0,32.1,3.0,-17.0,27.0
241,2000.0,33.0,4.2,120.6,19.1,19.2,14.0,-16.0,-6.0
242,96.5,2.3,42.5,110.0,28.3,24.0,19.2,-11.6,-8.5
243,28.0,0.75,67.7,18.3,34.0,12.2,-6.9,5.3,8.5
244,3.2,0.11,26.6,12.6,26.1,15.2,-11.6,1.6,9.7
245,27.0,0.73,44.7,25.7,32.4,19.1,-18.9,2.6,0.3
